date,temperature,humidity,wind_speed,outlook
2021-01-01,26.03,52.33,11.62,sunny
2021-01-02,26.39,55.79,7.32,sunny
2021-01-03,26.93,60.79,6.38,sunny
2021-01-04,27.93,64.21,6.69,sunny
2021-01-05,28.28,66.04,7.42,rainy
2021-01-06,28.3,64.29,6.82,sunny
2021-01-07,28.65,61.25,7.44,sunny
2021-01-08,28.28,60.88,7.25,sunny
2021-01-09,27.06,57.67,8.28,sunny
2021-01-10,27.0,58.17,6.55,sunny
2021-01-11,27.52,56.33,7.87,sunny
2021-01-12,26.47,50.29,9.81,sunny
2021-01-13,25.02,51.67,7.91,sunny
2021-01-14,25.34,64.12,9.17,sunny
2021-01-15,25.64,66.79,8.02,sunny
2021-01-16,26.16,64.5,8.52,sunny
2021-01-17,26.95,59.29,10.06,sunny
2021-01-18,26.4,49.46,9.38,sunny
2021-01-19,25.81,48.96,6.8,sunny
2021-01-20,26.91,65.42,6.06,sunny
2021-01-21,27.15,68.29,7.8,sunny
2021-01-22,26.58,75.67,9.34,rainy
2021-01-23,25.69,81.5,7.2,rainy
2021-01-24,26.05,78.17,6.78,sunny
2021-01-25,26.03,78.42,8.61,sunny
2021-01-26,26.63,73.0,8.56,sunny
2021-01-27,27.02,70.04,7.33,sunny
2021-01-28,27.05,70.46,7.8,sunny
2021-01-29,26.52,59.42,6.56,sunny
2021-01-30,26.26,58.21,7.24,sunny
2021-01-31,27.19,62.12,7.01,sunny
2021-02-01,27.53,61.04,9.08,sunny
2021-02-02,27.23,59.67,8.26,sunny
2021-02-03,26.55,62.42,7.2,sunny
2021-02-04,27.25,61.5,7.08,sunny
2021-02-05,27.73,63.92,6.81,sunny
2021-02-06,27.78,64.0,6.95,sunny
2021-02-07,28.02,62.96,7.12,sunny
2021-02-08,27.6,69.38,5.11,sunny
2021-02-09,27.48,70.58,7.55,sunny
2021-02-10,26.82,75.75,5.7,rainy
2021-02-11,26.3,77.12,9.19,sunny
2021-02-12,26.13,73.0,8.06,sunny
2021-02-13,25.62,71.58,8.07,sunny
2021-02-14,25.3,68.38,10.3,sunny
2021-02-15,25.25,69.46,10.13,sunny
2021-02-16,25.32,69.38,12.23,sunny
2021-02-17,26.38,60.58,10.59,sunny
2021-02-18,26.51,59.5,6.85,sunny
2021-02-19,26.65,53.12,7.74,sunny
2021-02-20,26.45,55.12,7.42,sunny
2021-02-21,25.96,61.5,8.51,sunny
2021-02-22,25.68,62.92,11.16,sunny
2021-02-23,26.1,65.38,9.75,sunny
2021-02-24,26.82,67.29,9.99,sunny
2021-02-25,27.39,68.92,8.89,sunny
2021-02-26,27.57,72.25,10.35,sunny
2021-02-27,27.53,74.08,10.87,sunny
2021-02-28,27.68,71.04,14.4,sunny
2021-03-01,28.25,70.75,14.08,sunny
2021-03-02,28.58,69.38,11.96,sunny
2021-03-03,28.8,63.38,10.57,sunny
2021-03-04,29.18,57.83,13.16,sunny
2021-03-05,28.35,59.08,14.97,sunny
2021-03-06,28.43,60.38,11.53,sunny
2021-03-07,28.53,65.25,14.39,sunny
2021-03-08,29.08,54.92,11.44,sunny
2021-03-09,28.65,58.04,10.27,sunny
2021-03-10,28.88,56.46,9.67,sunny
2021-03-11,29.29,57.08,11.19,sunny
2021-03-12,29.58,50.54,9.47,sunny
2021-03-13,29.14,56.75,9.8,sunny
2021-03-14,28.3,63.42,10.4,sunny
2021-03-15,27.87,66.38,9.75,sunny
2021-03-16,27.93,66.67,13.02,sunny
2021-03-17,27.8,67.75,12.35,sunny
2021-03-18,28.14,70.62,14.21,sunny
2021-03-19,28.77,71.79,13.23,sunny
2021-03-20,28.85,71.12,12.54,sunny
2021-03-21,29.06,70.08,10.69,sunny
2021-03-22,29.87,63.46,6.77,sunny
2021-03-23,30.7,54.62,7.52,sunny
2021-03-24,29.83,61.0,9.71,sunny
2021-03-25,28.92,68.29,7.9,sunny
2021-03-26,29.08,65.88,12.91,sunny
2021-03-27,29.16,67.75,13.17,sunny
2021-03-28,29.25,67.42,12.45,sunny
2021-03-29,29.18,68.33,10.68,sunny
2021-03-30,29.14,68.83,9.97,sunny
2021-03-31,29.63,70.42,10.56,sunny
2021-04-01,29.6,68.83,11.81,sunny
2021-04-02,29.8,72.83,8.73,rainy
2021-04-03,27.82,79.42,11.7,rainy
2021-04-04,28.0,79.0,10.18,rainy
2021-04-05,28.26,75.62,8.9,sunny
2021-04-06,28.91,65.54,12.77,sunny
2021-04-07,28.6,66.46,9.96,sunny
2021-04-08,28.34,72.25,9.42,sunny
2021-04-09,28.31,73.42,8.33,rainy
2021-04-10,28.66,70.67,10.66,sunny
2021-04-11,29.42,65.58,12.24,sunny
2021-04-12,29.19,67.42,10.13,sunny
2021-04-13,28.77,74.62,10.64,sunny
2021-04-14,28.72,72.83,8.03,rainy
2021-04-15,27.2,84.83,6.96,rainy
2021-04-16,27.08,84.42,6.92,rainy
2021-04-17,27.38,83.88,6.01,rainy
2021-04-18,26.93,84.62,8.55,rainy
2021-04-19,26.9,86.79,6.34,rainy
2021-04-20,28.04,82.75,6.41,sunny
2021-04-21,27.95,83.75,5.48,rainy
2021-04-22,26.61,89.08,6.01,rainy
2021-04-23,26.93,86.67,6.83,rainy
2021-04-24,27.75,83.21,7.03,rainy
2021-04-25,27.72,83.75,7.76,rainy
2021-04-26,28.31,81.62,7.44,sunny
2021-04-27,27.3,86.25,6.58,rainy
2021-04-28,27.72,82.88,9.75,sunny
2021-04-29,28.11,77.67,9.15,sunny
2021-04-30,28.38,77.04,10.0,sunny
2021-05-01,27.99,82.96,10.32,rainy
2021-05-02,28.77,78.25,9.34,sunny
2021-05-03,28.55,78.08,9.84,sunny
2021-05-04,28.9,74.58,8.83,sunny
2021-05-05,29.57,73.5,9.76,sunny
2021-05-06,29.48,72.54,9.6,sunny
2021-05-07,28.36,80.79,7.85,sunny
2021-05-08,28.57,80.29,8.38,sunny
2021-05-09,28.62,81.71,8.31,rainy
2021-05-10,29.24,78.71,9.2,sunny
2021-05-11,29.48,77.58,7.35,sunny
2021-05-12,29.88,75.96,6.84,sunny
2021-05-13,29.27,80.79,7.4,rainy
2021-05-14,28.77,81.92,8.7,sunny
2021-05-15,28.73,82.0,9.79,sunny
2021-05-16,28.99,82.0,9.39,rainy
2021-05-17,27.99,83.79,8.19,rainy
2021-05-18,27.97,84.88,8.15,rainy
2021-05-19,28.1,85.75,6.37,rainy
2021-05-20,28.65,82.33,7.32,rainy
2021-05-21,27.77,86.33,6.9,rainy
2021-05-22,26.92,88.75,8.45,rainy
2021-05-23,27.21,87.71,8.54,rainy
2021-05-24,27.1,88.42,6.99,rainy
2021-05-25,26.46,91.42,5.86,rainy
2021-05-26,26.4,90.67,8.29,rainy
2021-05-27,26.62,89.96,7.34,rainy
2021-05-28,27.34,87.96,7.49,rainy
2021-05-29,27.94,85.17,6.81,rainy
